time,LB
40.75,0.621
41,0.623
41.25,0.624
41.5,0.626
41.75,0.627
42,0.628
42.25,0.629
42.5,0.631
42.75,0.632
43,0.633
43.25,0.636
43.5,0.636
43.75,0.637
44,0.638
44.25,0.64
44.5,0.641
44.75,0.642
45,0.643
45.25,0.644
45.5,0.645
45.75,0.647
46,0.648
46.25,0.649
46.5,0.65
46.75,0.651
47,0.652
47.25,0.653
47.5,0.654
47.75,0.655
48,0.656
48.25,0.657
48.5,0.658
48.75,0.659
49,0.66
49.25,0.661
49.5,0.662
49.75,0.663
50,0.663
50.25,0.664
50.5,0.666
50.75,0.666
51,0.667
51.25,0.668
51.5,0.669
51.75,0.67
52,0.671
52.25,0.672
52.5,0.672
52.75,0.673
53,0.673
53.25,0.675
53.5,0.675
53.75,0.676
54,0.677
54.25,0.678
54.5,0.678
54.75,0.679
55,0.681
55.25,0.681
55.5,0.682
55.75,0.682
56,0.683
56.25,0.684
56.5,0.685
56.75,0.686
57,0.686
57.25,0.687
57.5,0.688
57.75,0.689
58,0.689
58.25,0.69
58.5,0.691
58.75,0.692
59,0.692
59.25,0.693
59.5,0.694
59.75,0.694
60,0.695
60.25,0.696
60.5,0.696
60.75,0.697
61,0.697
61.25,0.698
61.5,0.699
61.75,0.7
62,0.7
62.25,0.701
62.5,0.701
62.75,0.702
63,0.703
63.25,0.703
63.5,0.704
63.75,0.705
64,0.705
64.25,0.706
64.5,0.707
64.75,0.707
65,0.708
65.25,0.709
65.5,0.709
65.75,0.71
66,0.711
66.25,0.711
66.5,0.712
66.75,0.712
67,0.713
67.25,0.714
67.5,0.714
67.75,0.715
68,0.716
68.25,0.716
68.5,0.716
68.75,0.717
69,0.718
69.25,0.718
69.5,0.718
69.75,0.719
70,0.72
70.25,0.721
70.5,0.721
70.75,0.721
71,0.722
71.25,0.722
71.5,0.723
71.75,0.724
72,0.724
72.25,0.725
72.5,0.725
72.75,0.726
73,0.726
73.25,0.726
73.5,0.727
73.75,0.727
74,0.728
74.25,0.729
74.5,0.729
74.75,0.73
75,0.731
75.25,0.731
75.5,0.731
75.75,0.732
76,0.733
76.25,0.733
76.5,0.733
76.75,0.734
77,0.735
77.25,0.735
77.5,0.735
77.75,0.736
78,0.736
78.25,0.737
78.5,0.738
78.75,0.738
79,0.738
79.25,0.739
79.5,0.739
79.75,0.74
80,0.74
80.25,0.741
80.5,0.741
80.75,0.742
81,0.742
81.25,0.743
81.5,0.743
81.75,0.743
82,0.743
82.25,0.744
82.5,0.744
82.75,0.745
83,0.745
83.25,0.746
83.5,0.746
83.75,0.747
84,0.747
84.25,0.747
84.5,0.748
84.75,0.748
85,0.748
85.25,0.749
85.5,0.749
85.75,0.75
86,0.75
86.25,0.75
86.5,0.751
86.75,0.751
87,0.752
87.25,0.752
87.5,0.752
87.75,0.753
88,0.753
88.25,0.754
88.5,0.754
88.75,0.754
89,0.754
89.25,0.755
89.5,0.755
89.75,0.755
90,0.756
90.25,0.756
90.5,0.757
90.75,0.757
91,0.757
91.25,0.757
91.5,0.757
91.75,0.758
92,0.758
92.25,0.758
92.5,0.759
92.75,0.759
93,0.76
93.25,0.76
93.5,0.76
93.75,0.76
94,0.761
94.25,0.761
94.5,0.761
94.75,0.762
95,0.762
95.25,0.762
95.5,0.762
95.75,0.763
96,0.763
