time,AO
47.75,0.625
48,0.628
48.25,0.63
48.5,0.63
48.75,0.632
49,0.634
49.25,0.636
49.5,0.637
49.75,0.638
50,0.64
50.25,0.641
50.5,0.642
50.75,0.644
51,0.645
51.25,0.646
51.5,0.648
51.75,0.649
52,0.65
52.25,0.652
52.5,0.652
52.75,0.655
53,0.656
53.25,0.656
53.5,0.657
53.75,0.659
54,0.66
54.25,0.661
54.5,0.661
54.75,0.662
55,0.664
55.25,0.666
55.5,0.666
55.75,0.667
56,0.669
56.25,0.67
56.5,0.671
56.75,0.672
57,0.673
57.25,0.674
57.5,0.675
57.75,0.676
58,0.677
58.25,0.678
58.5,0.679
58.75,0.68
59,0.681
59.25,0.683
59.5,0.683
59.75,0.684
60,0.686
60.25,0.686
60.5,0.688
60.75,0.689
61,0.69
61.25,0.691
61.5,0.693
61.75,0.694
62,0.695
62.25,0.696
62.5,0.697
62.75,0.698
63,0.699
63.25,0.7
63.5,0.701
63.75,0.702
64,0.702
64.25,0.704
64.5,0.705
64.75,0.706
65,0.707
65.25,0.707
65.5,0.709
65.75,0.709
66,0.711
66.25,0.711
66.5,0.714
66.75,0.716
67,0.716
67.25,0.718
67.5,0.717
67.75,0.718
68,0.72
68.25,0.721
68.5,0.721
68.75,0.722
69,0.724
69.25,0.725
69.5,0.726
69.75,0.726
70,0.728
70.25,0.728
70.5,0.729
70.75,0.731
71,0.731
71.25,0.732
71.5,0.733
71.75,0.734
72,0.735
72.25,0.736
72.5,0.736
72.75,0.739
73,0.739
73.25,0.74
73.5,0.741
73.75,0.741
74,0.742
74.25,0.743
74.5,0.744
74.75,0.745
75,0.745
75.25,0.747
75.5,0.747
75.75,0.748
76,0.749
76.25,0.75
76.5,0.751
76.75,0.752
77,0.751
77.25,0.753
77.5,0.754
77.75,0.754
78,0.754
78.25,0.756
78.5,0.757
78.75,0.758
79,0.758
79.25,0.759
79.5,0.759
79.75,0.761
80,0.767
80.25,0.768
80.5,0.768
80.75,0.769
81,0.769
81.25,0.769
81.5,0.77
81.75,0.771
82,0.771
82.25,0.772
82.5,0.773
82.75,0.773
83,0.783
83.25,0.775
83.5,0.776
83.75,0.776
84,0.777
84.25,0.777
84.5,0.778
84.75,0.779
85,0.779
85.25,0.78
85.5,0.781
85.75,0.781
86,0.782
86.25,0.783
86.5,0.783
86.75,0.784
87,0.784
87.25,0.785
87.5,0.786
87.75,0.786
88,0.786
88.25,0.788
88.5,0.788
88.75,0.789
89,0.789
89.25,0.79
89.5,0.791
89.75,0.791
90,0.792
90.25,0.793
90.5,0.792
90.75,0.793
91,0.794
91.25,0.794
91.5,0.794
91.75,0.795
92,0.795
92.25,0.796
92.5,0.797
92.75,0.796
93,0.797
93.25,0.798
93.5,0.798
93.75,0.799
94,0.8
94.25,0.8
94.5,0.8
94.75,0.801
95,0.801
95.25,0.801
95.5,0.802
95.75,0.803
96,0.803
