time,AO
74.25,0.804
74.5,0.804
74.75,0.806
75,0.806
75.25,0.807
75.5,0.808
75.75,0.809
76,0.81
76.25,0.811
76.5,0.811
76.75,0.813
77,0.813
77.25,0.814
77.5,0.815
77.75,0.816
78,0.817
78.25,0.818
78.5,0.818
78.75,0.819
79,0.82
79.25,0.82
79.5,0.821
79.75,0.822
80,0.823
80.25,0.824
80.5,0.824
80.75,0.825
81,0.826
81.25,0.827
81.5,0.827
81.75,0.828
82,0.829
82.25,0.83
82.5,0.83
82.75,0.83
83,0.832
83.25,0.832
83.5,0.833
83.75,0.833
84,0.834
84.25,0.834
84.5,0.836
84.75,0.837
85,0.836
85.25,0.837
85.5,0.837
85.75,0.839
86,0.839
86.25,0.84
86.5,0.84
86.75,0.841
87,0.842
87.25,0.843
87.5,0.843
87.75,0.844
88,0.844
88.25,0.845
88.5,0.846
88.75,0.846
89,0.846
89.25,0.847
89.5,0.847
89.75,0.849
90,0.848
90.25,0.849
90.5,0.849
90.75,0.85
91,0.851
91.25,0.85
91.5,0.851
91.75,0.852
92,0.851
92.25,0.852
92.5,0.853
92.75,0.853
93,0.854
93.25,0.854
93.5,0.855
93.75,0.855
94,0.855
94.25,0.855
94.5,0.856
94.75,0.857
95,0.857
95.25,0.858
95.5,0.857
95.75,0.857
96,0.857
