time,LP
47.75,0.632
48,0.634
48.25,0.636
48.5,0.638
48.75,0.64
49,0.642
49.25,0.644
49.5,0.645
49.75,0.647
50,0.649
50.25,0.651
50.5,0.653
50.75,0.654
51,0.656
51.25,0.658
51.5,0.66
51.75,0.661
52,0.663
52.25,0.665
52.5,0.667
52.75,0.668
53,0.67
53.25,0.672
53.5,0.673
53.75,0.675
54,0.677
54.25,0.678
54.5,0.68
54.75,0.682
55,0.683
55.25,0.685
55.5,0.686
55.75,0.688
56,0.689
56.25,0.691
56.5,0.692
56.75,0.694
57,0.695
57.25,0.697
57.5,0.699
57.75,0.7
58,0.702
58.25,0.703
58.5,0.704
58.75,0.706
59,0.707
59.25,0.709
59.5,0.71
59.75,0.712
60,0.713
60.25,0.714
60.5,0.716
60.75,0.717
61,0.719
61.25,0.72
61.5,0.722
61.75,0.723
62,0.724
62.25,0.726
62.5,0.727
62.75,0.728
63,0.73
63.25,0.731
63.5,0.732
63.75,0.734
64,0.735
64.25,0.737
64.5,0.738
64.75,0.739
65,0.741
65.25,0.742
65.5,0.743
65.75,0.744
66,0.746
66.25,0.747
66.5,0.748
66.75,0.749
67,0.75
67.25,0.752
67.5,0.753
67.75,0.754
68,0.756
68.25,0.757
68.5,0.758
68.75,0.759
69,0.76
69.25,0.761
69.5,0.762
69.75,0.764
70,0.765
70.25,0.766
70.5,0.767
70.75,0.769
71,0.77
71.25,0.771
71.5,0.772
71.75,0.773
72,0.774
72.25,0.775
72.5,0.777
72.75,0.778
73,0.779
73.25,0.78
73.5,0.781
73.75,0.782
74,0.783
74.25,0.784
74.5,0.785
74.75,0.787
75,0.787
75.25,0.789
75.5,0.79
75.75,0.791
76,0.792
76.25,0.793
76.5,0.794
76.75,0.795
77,0.796
77.25,0.797
77.5,0.798
77.75,0.799
78,0.8
78.25,0.801
78.5,0.802
78.75,0.803
79,0.804
79.25,0.805
79.5,0.806
79.75,0.807
80,0.808
80.25,0.809
80.5,0.81
80.75,0.811
81,0.812
81.25,0.813
81.5,0.814
81.75,0.815
82,0.816
82.25,0.817
82.5,0.818
82.75,0.819
83,0.82
83.25,0.821
83.5,0.821
83.75,0.822
84,0.823
84.25,0.824
84.5,0.825
84.75,0.826
85,0.827
85.25,0.828
85.5,0.828
85.75,0.829
86,0.83
86.25,0.831
86.5,0.831
86.75,0.832
87,0.833
87.25,0.834
87.5,0.835
87.75,0.836
88,0.836
88.25,0.837
88.5,0.838
88.75,0.839
89,0.839
89.25,0.84
89.5,0.841
89.75,0.842
90,0.843
90.25,0.843
90.5,0.844
90.75,0.845
91,0.845
91.25,0.846
91.5,0.847
91.75,0.848
92,0.848
92.25,0.849
92.5,0.85
92.75,0.851
93,0.851
93.25,0.852
93.5,0.853
93.75,0.853
94,0.854
94.25,0.855
94.5,0.855
94.75,0.856
95,0.857
95.25,0.857
95.5,0.858
95.75,0.859
96,0.86
